Aaron
Abb
Abel
Abraham
Abram
Absalon
Acer
Adaidh
Adair
Adam
Adelard
Adhamh
Adie
Adrian
Adric
Aed
Aeneas
Aenghus
Aengus
Affiath
Aidan
Aiden
Aidrian
Ailbert
Ailill
Ailmar
Ailmund
Ailward
Aimon
Aindreas
Ainmere
Ainsley
Ainslie
Airard
Airbertach
Al
Alan
Alard
Alasdair
Alasdar
Alastair
Alastar
Alban
Albern
Albert
Albin
Aldous
Aldwin
Alec
Aled
Alex
Alexander
Alf
Alfie
Alfred
Alfric
Alger
Algernon
Alick
Alistair
Allan
Allard
Allen
Allister
Almaric
Aloysius
Alphonsus
Alpin
Alric
Alsandair
Alsander
Alun
Alured
Alvin
Alwyn
Alyn
Amalgaid
Amargein
Ambrose
Amhlaoibh
Andras
Andreas
Andrew
Andy
Aneirin
Aneurin
Angus
Anmchaid
Anntoin
Anrai
Anselm
Antain
Anthony
Antoine
Antony
Aodh
Aodhan
Aonghas
Aonghus
Aongus
Archibald
Ardal
Arlen
Arnold
Arnulf
Arran
Art
Artagan
Artain
Artair
Artegal
Arth
Arthur
Arwel
Arthyen
Artie
Artt
Arwyn
Asaph
Ascil
Ashley
Athol
Aubrey
Audie
Auger
Augustine
Augustus
Aulay
Auliffe
Austell
Austin
Awen
Aylmer
Aylwin
Aymon
Aynulf
Aytrop
Baird
Bairre
Baiscend
Baldwin
Banquo
Baothghalach
Baptist
Barclay
Bard
Bardulf
Barnabas
Barnaby
Barney
Barra
Barry
Bart
Bartelot
Bartholomew
Bartley
Basil
Bearach
Beartlaidh
Beathan
Beaumund
Beistean
Ben
Benedict
Beneger
Benesek
Benet
Benjamin
Benneit
Berach
Berenger
Bernard
Bert
Bertie
Bertram
Berwyn
Bevan
Bhaltair
Bill
Billy
Blaen
Blaine
Blair
Blaire
Blathmac
Blayre
Bleddig
Bleddyn
Blyth
Bob
Boniface
Bowie
Boyd
Brachtmar
Brad
Bradley
Bradwen
Brady
Bram
Bran
Brandon
Branek
Brannon
Brant
Branwalather
Brechin
Brendan
Brendon
Brengy
Brent
Breoc
Bressal
Bret
Brett
Brian
Brice
Brinley
Brock
Broderick
Brody
Brogan
Bron
Bruce
Brune
Bruno
Bryan
Bryn
Brynach
Brynley
Brynmor
Brynn
Bryok
Bryon
Buck
Budic
Buthek
Byron
Cadan
Cade
Cadel
Cadogan
Cador
Cadreth
Cadwgan
Caerwyn
Cahal
Cahan
Cai
Caicher
Cailan
Cailean
Cailin
Cailte
Cain
Cainneach
Cairbre
Cairell
Cairpre
Cal
Caley
Callum
Calum
Calvin
Cameron
Campbell
Caradoc
Caradog
Carasek
Carl
Carlin
Carney
Carr
Carrick
Carroll
Carrow
Carthach
Carwyn
Casey
Caswyn
Catesby
Cathal
Cathaoir
Cathassach
Cecil
Cedig
Cedric
Cedrych
Cellach
Cemlyn
Cerball
Ceredig
Ceri
Cernach
Cett
Chad
Chance
Charles
Charlie
Chattan
Christian
Christopher
Chulainn
Cian
Ciaran
Cillian
