Abbey
Abbie
Abby
Abigail
Ablach
Ada
Adain
Addie
Adela
Adelaide
Adele
Adeline
Aderyn
Adrea
Adriana
Adrienne
Adwen
Aelicia
Aeronwen
Aeschine
Affraic
Afraig
Agata
Agatha
Aggy
Aghna
Agnes
Aibhilin
Aibhil�n
Aideen
Aifric
Aigneis
Ailbe
Ailbhe
Aileann
Aileen
Ailidh
Ailionora
Ailla
Ailleann
Ail�s
Ailsa
Aimee
Aim�e
Aine
Aingeal
Ainsley
Aisling
Aislinn
Alaina
Alana
Alanna
Alannah
Alastrina
Alastrine
Alastr�ona
Alberta
Albreda
Alby
Alditha
Aldiva
Aldreda
Aldwina
Alexandra
Alexandrina
Alexia
Alexina
Alexis
Aleysia
Alice
Alicia
Alieva
Alina
Alis
Alison
Alisoun
Alissa
Alithea
Allegra
Allok
Ally
Alma

Alva
Almaith
Althea
Alveva
Alviva
Alyenora
Alys
Alyson
Alyssa
Amabel
Amabella
Amanda
Amaryllis
Amber
Ambrosia
Amelia
Amethyst
Amice
Amicia
Amy
Anabila
Anastasia
Andra
Andrea
Anga
Angela
Angelet
Angelica
Angharad
Anika
Anita
Anlaith
Ann
Ann-Marie
Anna
Annabel
Annabell
Annabella
Anne
Annest
Annette
Annice
Annie
Annis
Ann�bla
Annora
Annwyl
Anthea
Antonia
Anwen
Anwyl
Aodhnait
Aoibheann
Aoife
A�binn
A�fe
April
Arabella
Aranwen
Arian
Ariana
Arianwen
Ariel
Arlaith
Arlene
Armorel
Ar�c
Arranz
Arwenna
Arwyn
Ascelina
Ashleigh
Asleigh
Athelyna
Athwenna
Audrey
Augusta
Aurora
Autumn
Ava
Avelina
Avice
Avril
Aylwen
Babs
Baib�n
Bairbre
Banallan
Barbara
Barbi
Barbota
Barenwyn
Barrdhubh
Barrdub
Basilia
Be Bhionn
Bea
Bean Laighean
Bean Mh�
Bean Mhumhan
Beathag
Beatrice
Beatrix
Becky
Bedelia
Begy
Beitris
Belinda
Belocc
Ben Mide
Ben Muman
Benedicta
Benigna
Berlewen
Bernadette
Berneen
Bernie
Bersaba
Bertha
Beryan
Beryl
Bess
Bessie
Beth
Bethan
Bethany
Betrys
Betsy
Betty
Beverley
Bevin
Bianca
Biddy
Bil
Binne
Blanceflor
Blanche
Blejan
Bliss
Blodwen
Blodwin
Blodwyn
Blossom
Blythe
Bobbie
Bonnie
Bonny
B� F�il
B�bhinn
B�binn
